,id_orgao_julgador,sigla_tribunal,ramo_justica,nome_orgao,uf,id_municipio,ind1,ind2,ind3,taxa_entrada,taxa_saida,retorno,log_ind1,log_ind2,log_ind3,log_taxa_entrada,log_taxa_saida,log_retorno
11210,4643,TJSC,Justiça Estadual,PRIMEIRA VARA DA COMARCA DE CAPINZAL,SC,4496,259,2889,282,0.08965039806161301,0.0976116303219107,1.0888030888030888,2.413299764081252,3.460747541844197,2.450249108319361,-1.0474477777629452,-1.010498433524836,0.036949344238109284
11211,4644,TJES,Justiça Estadual,3ª VARA CÍVEL - SERRA,ES,892,131,3693,98,0.035472515569997295,0.026536691037097212,0.7480916030534351,2.1172712956557644,3.5673793076509788,1.9912260756924949,-1.4501080119952143,-1.576153231958484,-0.1260452199632694
11212,4645,TJES,Justiça Estadual,4ª VARA CÍVEL - SERRA,ES,892,138,5322,117,0.02593010146561443,0.021984216459977453,0.8478260869565217,2.1398790864012365,3.72607487021537,2.0681858617461617,-1.5861957838141336,-1.6578890084692084,-0.07169322465507487
11213,4647,TJES,Justiça Estadual,5ª VARA CÍVEL - SERRA,ES,892,130,5149,17,0.025247620897261604,0.003301611963488056,0.13076923076923078,2.113943352306837,3.7117228918272347,1.2304489213782739,-1.597779539520398,-2.4812739704489606,-0.8834944309285628
11214,4649,TJES,Justiça Estadual,1ª VARA CRIMINAL - SERRA,ES,892,33,2966,11,0.011126095751854349,0.0037086985839514496,0.3333333333333333,1.5185139398778875,3.472171146692363,1.041392685158225,-1.9536572068144757,-2.430778461534138,-0.4771212547196625
11215,4651,TJSC,Justiça Estadual,SEGUNDA VARA DA COMARCA DE CAPINZAL,SC,4496,67,3163,123,0.02118242175150174,0.038887132469174836,1.835820895522388,1.8260748027008264,3.500099191915723,2.089905111439398,-1.6740243892148965,-1.4101940804763249,0.2638303087385715
11216,4652,TJES,Justiça Estadual,2ª VARA CRIMINAL - SERRA,ES,892,26,2007,70,0.012954658694569009,0.03487792725460887,2.6923076923076925,1.414973347970818,3.3025473724874854,1.845098040014257,-1.8875740245166677,-1.4574493324732287,0.4301246920434389
11217,4653,TJES,Justiça Estadual,3ª VARA CRIMINAL - SERRA,ES,892,12,1522,24,0.00788436268068331,0.01576872536136662,2.0,1.0791812460476249,3.182414652434554,1.380211241711606,-2.1032334063869293,-1.802203410722948,0.3010299956639812
11218,4654,TJBA,Justiça Estadual,VARA JURISDIÇÃO PLENA - RIACHAO DAS NEVES,BA,525,42,5518,15,0.007611453425154041,0.0027183762232693004,0.35714285714285715,1.6232492903979006,3.7417816961431667,1.1760912590556813,-2.1185324057452664,-2.5656904370874853,-0.4471580313422192
11219,4655,TJES,Justiça Estadual,4ª VARA CRIMINAL - SERRA,ES,892,37,2775,45,0.013333333333333334,0.016216216216216217,1.2162162162162162,1.568201724066995,3.443262987458695,1.6532125137753437,-1.8750612633917,-1.7900504736833514,0.08501078970834869
11220,4656,TJES,Justiça Estadual,5ª VARA CRIMINAL - SERRA,ES,892,26,1394,63,0.018651362984218076,0.04519368723098996,2.423076923076923,1.414973347970818,3.144262773761991,1.7993405494535817,-1.7292894257911726,-1.344922224308409,0.3843672014827637
11221,4657,TJES,Justiça Estadual,6ª VARA CRIMINAL - SERRA,ES,892,135,2678,142,0.05041075429424944,0.05302464525765497,1.0518518518518518,2.130333768495006,3.42781057267599,2.1522883443830563,-1.297476804180984,-1.2755222282929337,0.02195457588805035
11222,4658,TJBA,Justiça Estadual,VARA JURISDIÇÃO PLENA - RIACHO DE SANTANA,BA,527,31,3673,77,0.008439967329158726,0.020963789817587803,2.4838709677419355,1.4913616938342726,3.5650209283452936,1.8864907251724818,-2.073659234511021,-1.6785302031728118,0.3951290313382092
11223,4660,TJES,Justiça Estadual,1ª VARA DE FAMÍLIA - SERRA,ES,892,97,3224,190,0.03008684863523573,0.05893300248138958,1.958762886597938,1.9867717342662448,3.508395033133053,2.278753600952829,-1.5216232988668081,-1.229641432180224,0.29198186668658405
11224,4661,TJES,Justiça Estadual,2ª VARA DE FAMÍLIA - SERRA,ES,892,99,3311,249,0.029900332225913623,0.07520386590154032,2.515151515151515,1.99563519459755,3.5199591807520685,2.3961993470957363,-1.5243239861545184,-1.1237598336563321,0.40056415249818644
11225,4662,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - OLIVEIRA DO BREJINHOS,BA,487,21,3859,70,0.005441824306815237,0.01813941435605079,3.3333333333333335,1.3222192947339193,3.5864747785713966,1.845098040014257,-2.2642554838374775,-1.74137673855714,0.5228787452803376
11226,4663,TJES,Justiça Estadual,3ª VARA DE FAMÍLIA - SERRA,ES,892,97,2979,176,0.032561262168512926,0.059080228264518295,1.8144329896907216,1.9867717342662448,3.4740705032150436,2.24551266781415,-1.4872987689487989,-1.2285578354008937,0.258740933547905
